QUESTION	QUESTION-ALIGNMENT	CHOICE 1	CHOICE 2	CHOICE 3	CHOICE 4	CORRECT CHOICE	RELEVANT TABLE	RELEVANT ROW	RELEVANT COL
A plateau is formed by what force?	"0,1,2"	flooding	erosion from running water; glacial erosion; upswelling of magma; lava flows	erosion	erosion; weathering	2	monarch-50	2	3
What is caused by erosion from running water and glacial erosion?	"1,2"	Glacial Lake	Cliff	Valley	Gulc	3	monarch-50	3	1
How is a valley formed?	"0,1,2"	Flooding	Erosion from running water	Plate tectonics	Continental drift	2	monarch-50	3	3
What is formed by continental drift; erosion from running water; glacial erosion?	"1,2"	bay	cave	volcano	cliff	1	monarch-50	4	1
A bay is formed by_______?	"0,1,2"	a rupture in the earth's crust	wind; water movement	tectonic uplift of mountain ranges	continental drift; erosion from running water; glacial erosion	4	monarch-50	4	3
A rupture in the earth's crust is a	2	Ocean Ridge	Floodplain	Dune	Volcano	4	monarch-50	5	1
How is a volcano formed?	"0,1,2"	a rupture in the earth's crust	erosion	glacier	wind	1	monarch-50	5	3
What is formed by plate tectonics?	"0,1,2"	dune	cliff	gully	ocean ridge	4	monarch-50	6	1
An ocean ridge is formed by what type of force?	"0,1,2"	erosion from running water	plate tectonics	upswelling of magma	glacial erosion	2	monarch-50	6	3
Which of the following is formed by erosion from running water?	"1,2"	Mountain	Ocean Ridge	Bay	Canyon; gorge	4	monarch-50	7	1
A canyon; gorge is formed by what force?	"0,1,2"	Erosion from running water	Weathering	Flooding	Glacial erosion	1	monarch-50	7	3
A dune is formed by	"0,1,2"	Erosion of Running Water	Volcanic Explosion	Weathering	wind; water movement	4	monarch-50	8	3
Which of these geological features is formed by erosion and weathering?	"1,2"	Cliff	Cave	Bay	Volcano	1	monarch-50	9	1
What forms a cliff?	1	"Erosion, weathering."	Flooding Plate Tectonics	A rupture in the earth's crust	Continental drift.	1	monarch-50	9	3
Which geological feature is formed by weathering forces?	"1,2"	Cave	Mountain	Plateau	Bay	1	monarch-50	10	1
A cave is formed by _______.	"0,1,2"	glacial erosion	continental drift	plate tectonics	weathering	4	monarch-50	10	3
What is formed by glacial erosion?	"1,2"	mountain	valley	cave	fjord	4	monarch-50	11	1
How is a fjord formed?	"0,1,2"	volcanic explosion	plate tectonics	flooding	glacial erosion	4	monarch-50	11	3
This geological feature is formed by erosion.	"0,1,2"	Mountain	Dune	Volcano	Gulch	4	monarch-50	12	1
What is a gulch formed by?	"0,1,2"	ectonic uplift of mountain ranges	glacial erosion	erosion	volcanic explosion	3	monarch-50	12	3
Which of the following is formed by erosion from running water?	"0,1,2"	Tectonic Lake	Crater Lake	Gully	Mountain	3	monarch-50	13	1
How is a gully formed?	"0,1,2"	a rupture in the earth's crust	flooding	erosion from running water	plate tectonics; volcanoes	3	monarch-50	13	3
This geologic feature of formed by erosion.	"1,2"	ravine	mountain	cave	volcano	1	monarch-50	14	1
A ravine is formed by _______?	"0,1,2"	weathering	erosion	volcanoes	flooding	2	monarch-50	14	3
What is created by volcanic eruptions?	"1,2"	Glacial Lakes	Gully	Cave	Crater Lake	4	monarch-50	15	1
A crater lake is formed by what?	"0,1,2"	erosion	volcanic explosion	plate tectonics	wind;water movement	2	monarch-50	15	3
What is formed by glacial erosion?	"1,2"	A volcano	A glacial lake	A mountain stream	A mesa	2	monarch-50	16	1
What force creates a glacial lake?	1	a rupture in the earth's crust	flooding	erosion from running water	glacial erosion	4	monarch-50	16	3
What geological feature is formed by tectonic uplift of mountain ranges?	"1,2"	plate tectonics; volcanoes	tectonic lake	erosion; weathering	a rupture in the earth's crust	2	monarch-50	17	1
A tectonic lake is formed by what?	"0,1,2"	erosion from running water; glacial erosion; upswelling of magma; lava flows	Flooding	Glacial Erosion	tectonic uplift of mountain ranges	4	monarch-50	17	3
What type of geological feature is formed by flooding?	"1,2"	tectonic lake	floodplain	cave	ravine	2	monarch-50	18	1
What causes a floodplain?	1	Plate Tectonics	Erosion	Glacial Erosion	Flooding	4	monarch-50	18	3
What is formed by wind and water movement.	"1,2"	Dune	mountain	plateau	crater lake	1	monarch-50	8	1
"A(n) _______ is used to move a heavy object with little force; for example, a seesaw or wheelbarrow."	"0,1,2,3,4"	Wedge	Screw	Pulley	Lever	4	monarch-51	1	1
Which of the following is an example of a lever?	"0,1"	wheel	corkscrew	wheelchair ramp	seesaw	4	monarch-51	1	5
Which simple machine is used to move vehicles?	"1,2"	screw	lever	inclined plane	wheel and axle	4	monarch-51	2	1
The purpose of a simple machine such as skateboard wheels is to:	"3,4"	Convert rotational motion to linear motion	Separate two pieces of an object	Move heavy objects up and down with little force	Move a heavy object with little force	4	monarch-51	2	3
A wheel and axle machine moves heavy objects with little force. An example of that is:	"0,1,2,3,4"	Human jaw	Corkscrew	Car wheels	Wheelchair ramp	3	monarch-51	2	5
Which simple machine is used to move heavy objects up or down with little force?	"1,2"	Pulley	Wedge	Saw	Lever	1	monarch-51	3	1
What is the main purpose of a pully?	"0,1,2,3"	for leverage	to help a tractor move	to move things with little force	convert rotational force to linear force	2	monarch-51	3	3
What is a real world example of a pulley?	"1,4"	Seesaw	Band Saw	Half Pipe	Tweezers	2	monarch-51	3	5
Which of the following is an example of an inclined plane; ramp being used to raise or lower a load with little force?	"0,1,2,3"	skateboard wheels; car wheels; bicycle wheels; cart wheels	wheelchair ramp; loading ramp; funicular railroad; pedestrian ramp; skateboard ramp; half pipe	corkscrew; bottle top; screw; nut and bolt	seesaw; scissors; crowbar; wheelbarrow; nutcracker; bottle opener; tweezers; human jaw	2	monarch-51	4	1
An inclined plane/ramp is used to _______. Some examples include wheelchair ramp; loading ramp; funicular railroad; pedestrian ramp; skateboard ramp; half pipe.	"0,1,2,3,4"	convert rotational motion to linear motion	move a heavy object with little force; move vehicles	move a heavy object with little force	raise or lower a load with little force	4	monarch-51	4	3
Which simple machine is an example of a ramp used to raise or lower a load with little force?	"1,2,3,4"	Loading ramp	Corkscrew	Nut and bolt	Scissors	1	monarch-51	4	5
What object can be used to hold a door open?	2	lever	pulley	wedge	screw	3	monarch-51	5	1
What does a wedge do?	1	move heavy objects up or down a rope with little force	convert rotational motion to linear motion	raise or lower a load with little force	raise or lower a load with little force; hold an object in place; separate two pieces of an object	4	monarch-51	5	3
Which of these is an example of a wedge used to raise or lower a load with little force?	"0,1,2,3"	belt sander	hammer claw	car wheels	tweezers	2	monarch-51	5	5
What simple machine is used to convert rotational motion to linear motion?	"1,2"	screw	lever	wedge	pulley	1	monarch-51	6	1
The simple machine called a screw is used for what purpose?	"1,2,3,4"	move a heavy object with little force	move heavy objects up or down a rope with little force	convert rotational motion to linear motion	raise or lower a load with little force; hold an object in place; separate two pieces of an object	3	monarch-51	6	3
A(n) screw is used to convert rotational motion to linear motion. An example of a screw is which of the following?	"0,1,2,3,4"	corkscrew; bottle top; screw; nut and bolt	hammer claw	belt sander; bandsaw; tractor	skateboard wheels; car wheels; bicycle wheels; cart wheels	1	monarch-51	6	5
"Levers (like wheelbarrows, bottle openers, and seesaws) can be used to:"	"0,1,2,3,4"	move a heavy object with little force	convert rotational motion to linear motion	raise or lower a load with little force	hold an object in place	1	monarch-51	1	3
A what is used to record observations?	"0,1,2"	Beaker	Glove	Bunsen burner	Notebook	4	monarch-52	1	1
What is a notebook's purpose?	"0,1"	measure the length of an object	determine magnetism	record observations	make small objects appear larger	3	monarch-52	1	3
What is the purpose of a Bunsen burner or hot plate?	"0,1"	Record observations	Heat materials and sterilize materials	Put out fires	find the weight of an object	2	monarch-52	2	3
What kind of tool can be used to draw graphs?	"1,2"	glove	compass	pencil	magnet	3	monarch-52	3	1
A pencil; pen is used to_______?	"0,1,2"	measure liquid; mixing liquids; heating liquids	determine magnetism	make small objects appear larger	write observations; draw graphs	4	monarch-52	3	3
Which piece of equipment is used to measure the length of an object?	"1,2"	notebook	pencil	compass	ruler	4	monarch-52	4	1
A ruler or meter stick is used to	"0,1,2"	record observations	make small objects appear larger	measure the length of an object	keep time	3	monarch-52	4	3
"in the lab, _______ protect one's eyes from chemicals and fumes."	"1,2"	a magnet	goggles	a bunsen burner	a notebook	2	monarch-52	5	1
What are a pair of goggles used for?	"0,1"	determine direction; orient the user; navigate	protect one's eyes from chemicals and fumes	make small objects appear larger	collect specimens	2	monarch-52	5	3
Which type of lab equipment is used to put out fires>	"1,2"	Bunsen burners	Fire extinguisher	Beaker	Compass	2	monarch-52	6	1
What is a fire extinguisher used for?	"0,1,2"	heat materials	lighting a flame	protect one's eyes from chemicals and fumes	put out fires	4	monarch-52	6	3
What is used to find the weight of an object?	"1,2"	Fire Extinguisher	Compass	Glove	triple beam balance; scale; balance; spring scale	4	monarch-52	7	1
"What is the triple beam balance, scale, balance, and spring scale used to do?"	"1,2"	measure the length of an object	determine magnetism	measure liquid; mixing liquids; heating liquid	find the weight of an object	4	monarch-52	7	3
What object is used to make small objects appear larger?	"1,2"	pair of goggles	compass	Bunsen burner	a magnifying glass or microscope	4	monarch-52	8	1
What are a magnifying glass and microscope used for?	"0,1,2"	to record observations	to put out fires	to make small objects appear larger	to determine magnetism	3	monarch-52	8	3
"If you are lost in the woods and need heat, what item could help you light a fire?"	2	hot plate	pencil	match	fire extenguisher	3	monarch-52	9	1
A match is best used for  _______.	"0,1"	collecting specimens	measuring liquids	setting an object on fire	finding the weight of an object	3	monarch-52	9	3
What do you use a compass for?	"1,2"	keep time	record observations	find the weight of an object	determine direction	4	monarch-52	10	3
Which of the following is used to protect your hand from chemicals and heat?	"0,1,2"	A net	A notebook	Gloves	A stopwatch	3	monarch-52	11	1
What is the purpose of a glove?	"0,1"	Record Observations	Put out fires	write observations; draw graphs	protect one's hand from chemicals and heat	4	monarch-52	11	3
A _______ is used to determine magnetism.	"0,1,2"	triple beam balance	fire extinguisher	magnet	magnifying glass	3	monarch-52	12	1
What is the purpose of a magnet?	"1,2"	To keep time and time an event	To record observations	To write observations and draw graphs	To determine magnetism	4	monarch-52	12	3
What is used to keep time and time an event?	"0,1,2"	"Timer, stopwatch, watch, clock"	Beaker	Glove	Compass	1	monarch-52	13	1
A watch is used for what purpose?	"0,1"	determine magnetism	find the weight of an object	keep time	determine direction	3	monarch-52	13	3
"This piece of lab equipment is used to measure, mix, and heat liquids."	"1,2"	beaker	glove	collection net	goggles	1	monarch-52	14	1
A(n) beaker is used to do what?	"0,1,2"	Keep time	"Measure, mix, and heat liquids"	Measure the length of an object	Light a flame	2	monarch-52	14	3
What is used to collect specimens?	"0,1,2"	beaker	collection net	glove	match	2	monarch-52	15	1
A collecting net is used to _______?	"1,2"	collect specimens	record observations	protect one's eyes from chemicals and fumes	lighting a flame; setting an object on fire	1	monarch-52	15	3
What would be used to heat materials/sterilize materials?	"1,2"	match	fire extinguisher	compass	Bunsen burner	4	monarch-52	2	1
Which of the following is used to determine direction; orient the user; navigate?	"0,1,2"	Collecting Net	Compass	triple beam balance; scale; balance; spring scale	notebook	2	monarch-52	10	1
Which of the following is not magnetic?	"0,1"	Aluminum	Chromite	Manganbabingtonite	Platinum	1	monarch-53	1	0
Which material is not magnetic?	0	Coyoteite	Epidote	Tantalite	Aluminum	4	monarch-53	1	2
What material is not magnetic?	"0,1"	Brass	Braunite	Ferberite	Magnetite	1	monarch-53	2	0
What is brass?	"0,1"	Magnetic	Not magnetic	Ferromagnetic	"Magnetic, not magnetic"	2	monarch-53	2	2
Which material is not magnetic?	"0,1"	Bronze	Soft Iron	Chromferide	Jacobsite	1	monarch-53	3	0
Bronze is _______.	0	not magnetic	copper	aluminum	steel	1	monarch-53	3	2
Which of the following is not magnetic?	"0,1"	Cobalt	Chromium	Hematite	Ferberite	2	monarch-53	4	0
Chromium is	"0,1"	Magnetic	Not magnetic	Sometimes magnetic	Maybe magnetic	2	monarch-53	4	2
Which of the following is ferromagnetic?	"0,1"	Tin	Silver	Cobalt	Brass	3	monarch-53	5	0
What material is ferromagnetic?	1	wood	glass	cobalt	aluminum	3	monarch-53	5	2
Which of the following metals is not magnetic?	"0,1"	Epidote	Pyrrhotite	Platium	Copper	4	monarch-53	6	0
Cooper is:	"0,1"	magnetic	ferromagnetic	pragmatic	NOT magnetic	4	monarch-53	6	2
Which one is not magnetic?	"0,1"	Nitratine	Hematite	Maghemite	Gold	4	monarch-53	7	0
What is gold?	"0,1"	Magnetic	Magnetic; not magnetic	Ferromagnetic	Not magnetic	4	monarch-53	7	2
Which material is ferromagnetic?	"0,1"	brass	gold	hermatite	paper	3	monarch-53	8	0
What is hamatite?	"0,1"	Magnetic	Not Magnetic	Ferromagnetic	"Magnetic, not magnetic"	3	monarch-53	8	2
Which material is ferromagnetic?	"0,1"	Soft Iron	Zinc	Platinum	Fabric	1	monarch-53	9	0
What is soft iron?	"0,1"	Not magnetic	Magnetic	Ferromagnetic	Both Magnetic and Not Magnetic	3	monarch-53	9	2
_______ is not a magnetic material.	"0,1"	Borax	Siderite	Franklinite	Lead	4	monarch-53	10	0
Lead is_______?	"0,1"	Not Magnetic	Ferromagnetic	Porrous	Magnetic	1	monarch-53	10	2
Which of the following is ferromagnetic?	"0,1"	Lead	Barite	Wood	Nickel	4	monarch-53	11	0
Nickel is _______.	0	Magnetic	Slightly magnetic	Ferromagnetic	Not magnetic	3	monarch-53	11	2
This metal is not magnetic.	"0,1"	Burckhardtite	Columbite	Goslarite	Pewter	4	monarch-53	12	0
Pewter is_______	"0,1"	Magnetic	Ferromagnetic	Not Magnetic	Porrous	3	monarch-53	12	2
What is the material that is not magnetic?	"0,1"	Plastic	Silver	Wood	Steel	2	monarch-53	13	0
Silver is nonreactive with other metals because it is	"0,1"	magnetic	not magnetic	ferromagnetic		2	monarch-53	13	2
These materials are classified as ferromagnetic.	1	"Plastic, rubber"	"Wood, marble"	"Styrofoam, paper"	"Carbon, steel"	4	monarch-53	14	0
"Steel, carbon is _______."	0	ferromagnetic	not magnetic	magnetic	none of the above	1	monarch-53	14	2
What is magnetic and not magnetic?	0	Stainless Steel	Hematite	Silver	Wood	1	monarch-53	15	0
Stainless steel is considered	"0,1"	magnetic; not magnetic	not magnetic	magnetic	ferromagnetic	1	monarch-53	15	2
What material is not magnetic?	"0,1"	Goslarite	Tin	Coyoteite	Babingtonite	2	monarch-53	16	0
"Which is true about the material, tin?"	"0,1"	magnetic	not magnetic	ferromagnetic	weightless	2	monarch-53	16	2
Which of the following is not magnetic?	"0,1"	steel; carbon	Zinc	Braunite	Ferberite	2	monarch-53	17	0
What is zinc?	"0,1"	Magnetic	Not Magnetic	Occasionally magnetic		2	monarch-53	17	2
_______ is magnetic	"0,1"	tin	Babingtonite	hematite	lead	2	monarch-53	18	0
"Is Babingtonite magnetic or not magnetic, or ferromagnetic?"	"0,1"	ferromagnetic	magnetic	not magnetic		2	monarch-53	18	2
Which of the following materials is magnetic?	"0,1"	tin	stainless steel	Barite	wood	3	monarch-53	19	0
What is bante?	"0,1"	Magnetic	Not Magnetic	Both magnetic and not magnetic	Neither magnetic or not magnetic	1	monarch-53	19	2
Which of the following is magnetic?	"0,1"	Gold	Soft Iron	Pewter	Borax	4	monarch-53	20	0
The material Borax is _______.	"0,1"	not magnetic	ferromagnetic	magnetic	none of the above	3	monarch-53	20	2
This material is magnetic.	"0,1"	Braunite	Bronze	Copper	Zinc	1	monarch-53	21	0
What is braunite?	"0,1"	Magnetic	Not Magnetic	Ferromagnetic	"Magnetic, not magnetic"	1	monarch-53	21	2
Name a magnetic material from below.	1	Tin	Burchardtite	glass	fabric	2	monarch-53	22	0
Burckhardtite is _______.	"0,1"	magnetic	resistant	electric	none of the above	1	monarch-53	22	2
Is Cadmium magnetic?	"0,1"	No	Yes	Yes and No	No	2	monarch-53	23	0
Which of the materials is magnetic?	0	plastic	Cadmium	wood	chromium	2	monarch-53	23	2
Which material is magnetic?	"0,1"	Tin	Pewter	Chromite	Wood	3	monarch-53	24	0
What is Chromite?	"0,1"	Magnetic	Not Magnetic	Ferromagnetic	"Magnetic, not magnetic"	1	monarch-53	24	2
A magnetic material is _______	"0,1"	Chromferide	Wood	Brass	Plastic	1	monarch-53	25	0
What is chromeride?	"0,1"	Magnetic	Not Magnetic	TerraMagnetic	Both Magnetic and Not Magnetic	1	monarch-53	25	2
Which material is magnetic?	"0,1"	gold	lead	silver	columbite	4	monarch-53	26	0
Columbite is_______?	"0,1"	Magnetic	Ferromagnetic	Porrous	Not magnetic	1	monarch-53	26	2
Which of these materials is magnetic?	"0,1"	Coyoteite	Copper	Aluminium	Wood	1	monarch-53	27	0
What is coyoteite?	"0,1"	Magnetic	Not Magnetic	Magnetic and not magnetic	Neither magnetic or not magnetic	1	monarch-53	27	2
Epitode is _______.	"0,1"	magnetic	not magnetic	ferromagnetic	found in bowling balls	1	monarch-53	28	2
Which of these materials is magnetic?	"0,1"	Epsomite	Cobalt	Copper	Steel	1	monarch-53	29	0
"The material, Eposmite is"	"0,1"	magnetic	not magnetic	gold	liquid	1	monarch-53	29	2
Which material is magnetic?	"0,1"	brass	lead	Ferberite	Glass	3	monarch-53	30	0
Is Feberite magnetic?	"0,1"	No	Yes	No	No	2	monarch-53	30	2
Which is magnetic?	"0,1"	Brass	Copper	Silver	Franklinite	4	monarch-53	31	0
Franklinite is  _______?	"0,1"	ferromagnetic	magnetic	not magnetic	made of cheese	2	monarch-53	31	2
Which material is magnetic?	"0,1"	goslarite	glass	brass	gold	1	monarch-53	32	0
What is goslarite?	"0,1"	Ferromagnetic	Magnetic	Not Magnetic	"Magnetic, not magnetic"	2	monarch-53	32	2
What material is magnetic?	"0,1"	chromium	Tantalite	Jacobsite	Chromferide	3	monarch-53	33	0
The material Jacobsite is _______.	"0,1"	not magnetic	magnetic	electric	none of the above	2	monarch-53	33	2
Which material is magnetic?	"0,1"	bronze	ludlamite	lead	paper	2	monarch-53	34	0
Ludlamite is which of the following?	"0,1"	Magnetic	Not megnetic	Ferromagnetic	A plant	1	monarch-53	34	2
Maghemite is	"0,1"	Not magnetic	Ferromagnetic	Porrous	Magnetic	4	monarch-53	35	2
Which of the following is magnetic?	"0,1"	Magnetite	Lead	Uranium	Paper	1	monarch-53	36	0
What is Magnetite?	"0,1"	ferromagnetic	magnetic	nonmagnetic	electromagnetic	2	monarch-53	36	2
What material is magnetic?	"0,1"	Zinc	Magnetoplumbite	Plastic	Columbite	2	monarch-53	37	0
Magnetoplumbite is _______.	"0,1"	not magnetic	both magnetic and non-magnetic	magnetic	imaginery	3	monarch-53	37	2
What is Manganbabingtonite?	"0,1"	Not magnetic	Occasionally magnetic	Magnetic	Magnetic and not magnetic.	3	monarch-53	38	0
What is Manganbabingtonite?	"0,1"	magnetic	Not magnetic	Ferromagnetic	"Magnetic, not magnetic"	1	monarch-53	38	2
Which material is magnetic?	"0,1"	lead	plastic	wood	nitratine	4	monarch-53	39	0
Which material is considered magnetic?	"0,1"	Wood	Pewter	Nitratine	Hematite	3	monarch-53	39	2
Which material is magnetic and represented by Pt on the Periodic Table of Elements?	"0,1"	Borax	Platinum	Jacobsite	Hematite	2	monarch-53	40	0
What is platinum?	"0,1"	Magnetic	Not Magnetic	Ferromagnetic	"Magnetic, not magnetic"	1	monarch-53	40	2
Which one of the materials is magnetic?	1	aluminum	glass	Pyrrhotite	zinc	3	monarch-53	41	0
Is pyrrhoite magnetic?	"0,1"	Yes	No	Yes and No		1	monarch-53	41	2
Which material is magnetic?	"0,1"	Siderite	zinc	bronze	aluminum	1	monarch-53	42	0
Siderite is which of the following?	"0,1"	ferromagnetic	Not magnetic	Magnetic	An animal	3	monarch-53	42	2
Which of the following is magnetic?	"0,1"	paper	zinc	Tantalite	nickel	3	monarch-53	43	0
What property best describes Tantalite?	0	Not magnetic	Magnetic	Feromagnetic	Electric	2	monarch-53	43	2
Is Trevorite magnetic?	"0,1"	Yes	No	Yes and No	No	1	monarch-53	44	0
Trevorite is	"0,1"	Magnetic	Not Magnetic	Ferromagnetic	Porrous	1	monarch-53	44	2
Which of these materials is not magnetic?	"0,1"	Epidote	Borax	Steel	Plastic	4	monarch-53	45	0
Is plastic magnetic?	"0,1"	not magnetic	magnetic	only sometimes magnetic	not magnetic unless heated	1	monarch-53	45	2
Which of these materials are not magnetic?	"0,1"	Barite	Coyoteite	Nitratine	wood	4	monarch-53	46	0
Wood is_______	"0,1"	Not magnetic	a liquid	magnetic	a gas	1	monarch-53	46	2
Which of the following is not magnetic?	"0,1"	Babingtonite	Barite	Cobalt	Glass	4	monarch-53	47	0
What is glass?	"0,1"	Magnetic	Not magnetic	Ferromagnetic	Both Magnetic and Not Magnetic	2	monarch-53	47	2
Which material is NOT metallic?	"0,1"	Fabric	Braunite	Jacobsite	Maghemite	1	monarch-53	48	0
Fabric is which of the following?	"0,1"	magnetic	not magnetic	polarizing	none of the above	2	monarch-53	48	2
Which of the following is not magnetic?	"0,1"	Siderate	Cadmium	Cobalt	Paper	4	monarch-53	49	0
What is paper?	"0,1"	Not magnetic	Ferromagnetic	Magnetic	"Magnetic, not magnetic"	1	monarch-53	49	2
Which material is magnetic?	"0,1"	Silver	chromium	Epidote	Lead	3	monarch-53	28	0
What material is magnetic?	"0,1"	chromium	Maghemite	aluminum	hematite	2	monarch-53	35	0
When something (is) _______ it undergoes a chemical change.	"0,1,2"	rusts	dissolves	melts	submlimated	1	monarch-54	1	1
"When something rusts, it undergoes what kind of change?"	"0,1,2"	Physical	Positive	Chemical	Negative	3	monarch-54	1	3
In which type of action does something go through a chemical change?	"1,2"	Burn	Magnetize	Boil	Crushed	1	monarch-54	2	1
"When something burns, it undergoes what type of change?"	"0,1,2"	physical	chemical	colorful	none of the above	2	monarch-54	2	3
Which action causes a chemical change?	"1,2"	cooking	dicing	stretching	shredding	1	monarch-54	3	1
While something is cooking it is under going a what_______?	"0,1,2"	physical change	fantasy change	chemical change	spiritual change	3	monarch-54	3	3
A chemical change can cause an object to undergo which type of action?	"1,2"	Sour	Chop	Melt	Magnetize	1	monarch-54	4	1
When something sours it undergoes a _______ change.	"0,1,2"	physical	chemical	emotional	psychological	2	monarch-54	4	3
When something magnetizes it undergoes what type of change?	"0,1"	physical	chemical	colorful	none of the above	1	monarch-54	5	1
"When something magnetizes, it undergoes which of the following?"	"0,1,2"	Evaporation	Physical change	Precipitation	Chemical change	2	monarch-54	5	3
When something _______ it undergoes a physical change.	2	explodes	boils	rots	burns	2	monarch-54	6	1
When something boils what type of change does it undergo?	"0,1"	Chemical Change	Physical Change	Chemical and physical change	Neither chemical or physical change	2	monarch-54	6	3
What is an example of something undergoing a physical change?	"1,2"	Cooking	Souring	Dissolving	Combusting	3	monarch-54	7	1
When something dissolves it undergoes a_______?	"0,1,2"	chemical change	physical change	no change	Atomic change	2	monarch-54	7	3
When something is_______it undergoes a physical change.	"0,1,2"	Diced	Rots	Explodes	Burns	1	monarch-54	8	1
What happens when something is diced?	"0,1"	It undergoes a physical change	It does not undergo a physical change	It undergoes a chemical change	It undergoes thermal change	1	monarch-54	8	3
Which of these is an example of a physical change?	2	cut	combust	grill	burn	1	monarch-54	9	1
When something is cut it undergoes a_______?	"0,1,2"	Atomic Change	Physical Change	Chemical Change	No Change	2	monarch-54	9	3
What action involves undergoing a physical change?	"1,2"	grilling	baking	burning	chopping	4	monarch-54	10	1
"When something is chopped, what type of change does it undergo?"	"0,1,2"	chemical	physical	thermal	soil	2	monarch-54	10	3
What is something that is an example of chemical change?	2	Dissolves	Combusts	Melts	Is Mixed	2	monarch-54	11	1
"When something combusts, it undergoes what kind of change?"	"0,1,2"	Physical	Positive	Negative	Chemical	4	monarch-54	11	3
What results in a chemical change?	2	Boils	Stretches	Digested	Dissolves	3	monarch-54	12	1
When something	"0,1,2"	physical change	chemical change	metamorphis	sleep cycle	2	monarch-54	12	3
What action is an example of a chemical change?	2	Baking	stretching	mixing	melting	1	monarch-54	13	1
"When something is baked, it goes through what kind of change?"	"0,1,2"	chemical change	physical change	no change	false change	1	monarch-54	13	3
How does something undergo a chemical change?	"1,2"	breaks	dissolves	explodes	melts	3	monarch-54	14	1
When something explodes it undergoes a _______.	"0,1,2"	Chemical change	Physical change	No change	None of the above	1	monarch-54	14	3
What action causes something to have a chemical change?	"0,2"	Rotting	Rusting	Breaking	Stretching	1	monarch-54	15	1
What type of change happens when something is rotting?	"0,1"	Chemical	Physical	Neutral	Negative	1	monarch-54	15	3
When something _______ it undergoes a chemical change.	"0,1,2"	is grilled	is shredded	stretches	is chopped	1	monarch-54	16	1
When something is grilled it undergoes what kind of change?	"0,1,2"	Physical	Positive	Negative	Chemical	4	monarch-54	16	3
A physical change occurs in something when what happens?	"0,2"	is crushed	rots	burns	melts	1	monarch-54	17	1
When something is crushed what type of change does it undergo?	"0,1"	Chemical Change	Physical Change	Both physical and chemical change	Neither chemical or physical change	2	monarch-54	17	3
"When something _______, it undergoes a physical change."	"0,1,2"	Sours	Is grilled	Melts	Is baked	3	monarch-54	18	1
What type of change does something undergo when it melts?	1	Chemical Change	Physical Change	Neither a physical or chemical change	Both a physical and chemical change.	2	monarch-54	18	3
When something (is) _______ it undergoes a physcial change.	"0,1,2"	rusts	explodes	grilled	mixed	4	monarch-54	19	1
What type of change does something undergo when something is mixed?	"0,1"	Chemical Change	Physical Change	Both physical and chemical change	Neither chemical or physical change	2	monarch-54	19	3
When something _______ it experiences a physical change.	"0,2"	burns	expires	is grilled	breaks	4	monarch-54	20	1
When something breaks it undergoes which type of change?	"0,1,2"	Physical Change	Chemical Change	Both a physical and chemical change	Nuclear Change	1	monarch-54	20	3
What is an example of a physical change?	2	Burn	Sour	Explode	Shredded	4	monarch-54	21	1
When something is shredded what kind of change does it go through?	"0,1,2"	Chemical Change	Physical Change	Neither a physical or chemical change	Both a physical and chemical change.	2	monarch-54	21	3
Physical changes happen when something is:	"0,1,2"	Rusted	Cooked	Rotted	Sublimated	4	monarch-54	22	1
When something is sublimated it undergoes what type of change?	"0,1,2"	Physical Change	Chemical Change	Physical and Chemical Change	Natural Change	1	monarch-54	22	3
When something_______it undergoes a physical change.	"0,1,2"	Sours	Burns	Stretches	Explodes	3	monarch-54	23	1
"When something stretches, it undergoes what kind of change?"	"0,1,2"	Physical	Positive	Chemical	Negative	1	monarch-54	23	3
"The heart, blood, blood vessels, and lymphatics belong to what organ system?"	"0,2"	respiratory system	muscular system	circulatory system	digestive system	3	monarch-55	1	1
The circulatory system is composed of which organs?	"0,1,2"	"bones, cartilage, and joints"	"the heart, blood, blood vessels, and lymphatics"	"pituitary and thyroid glands, ovaries and testes"	"the kidneys, ureters, urinary bladder, and urethra"	2	monarch-55	1	3
"Which organ system is composed of the brain, spinal cord, and nerves?"	"1,2"	Digestive System	Nervous System	Cirulatory System	Muscular System	2	monarch-55	2	1
What is the nervous system composed of?	"0,1,2"	"the skin, hair, nails, and sweat glands"	"the brain, spinal cord, and nerves"	"bones, cartilage, and joints"	"the nose, larynx, trachea, diaphragm, bronchi, and lungs"	2	monarch-55	2	3
"The _______ is composed of the mouth, stomach and intestines."	"0,1,2"	circulatory system	digestive system	endocrine system	excretory system	2	monarch-55	3	1
What is the digestive system composed of?	"0,1,2"	"brain, spinal cord, and nerves"	"nose, larynx, trachea, diaphragm, bronchi, and lungs"	"mouth, stomach, and intestines"	"sweat glands, the liver, the lungs and the kidney system"	3	monarch-55	3	3
"The _______ is composed of the pituitary and thyroid glands, ovaries and testes."	"0,1,2"	endocrine system	nervous system	urinary system	muscular system	1	monarch-55	4	1
The endocrine system is composed of_______	"0,1,2"	"bones, cartilage, and joints"	"sweat glands, the liver, the lungs and the kidney system"	"the brain, spinal cord, and nerves"	"pituitary and thyroid glands, ovaries and testes"	4	monarch-55	4	3
"What system is composed of the skin, hair, nails and sweat glands?"	"1,2"	endocrine system	integumentary system	muscular system	skeletal system	2	monarch-55	5	1
